SCHOOLDISTNO,SCHOOLDIST
3906,NEKOOSA
3913,NEOSHO J3
3920,NEW AUBURN
3925,NEW BERLIN
3934,NEW GLARUS
3941,NEW HOLSTEIN
3948,NEW LISBON
3955,NEW LONDON
3962,NEW RICHMOND
3969,NIAGARA
3976,NORRIS
3983,NORTH FOND DU LAC
3990,NORWALK-ONTARIO-WILTON
4011,NORWAY J7
4018,OAK CREEK-FRANKLIN JOINT
4025,OAKFIELD
4060,OCONOMOWOC AREA
4067,OCONTO UNIFIED
4074,OCONTO FALLS PUBLIC
4088,OMRO
4095,ONALASKA
4137,OOSTBURG
4144,OREGON
4151,PARKVIEW
4165,OSCEOLA
4179,OSHKOSH AREA
4186,OSSEO-FAIRCHILD
4207,OWEN-WITHEE
4221,PALMYRA-EAGLE AREA
4228,PARDEEVILLE AREA
4235,PARIS J1
4263,BEECHER-DUNBAR-PEMBINE
4270,PEPIN AREA
4305,PESHTIGO
4312,PEWAUKEE
4330,PHELPS
4347,PHILLIPS
4368,PITTSVILLE
4375,TRI-COUNTY AREA
4389,PLATTEVILLE
4459,PLUM CITY
4473,PLYMOUTH JOINT
4501,PORTAGE COMMUNITY
4508,PORT EDWARDS
4515,PORT WASHINGTON-SAUKVILLE
4522,SOUTH SHORE
4529,POTOSI
4536,POYNETTE
4543,PRAIRIE DU CHIEN AREA
4557,PRAIRIE FARM PUBLIC
4571,PRENTICE
4578,PRESCOTT
4606,PRINCETON
4613,PULASKI COMMUNITY
4620,RACINE UNIFIED
4627,RANDALL J1
4634,RANDOLPH
4641,RANDOM LAKE
4686,RAYMOND #14
4690,NORTH CAPE
4753,REEDSBURG
4760,REEDSVILLE
4781,RHINELANDER
4795,RIB LAKE
4802,RICE LAKE AREA
4820,RICHFIELD J1
4843,FRIESS LAKE
4851,RICHLAND
4865,RIO COMMUNITY
4872,RIPON AREA
4893,RIVER FALLS
4904,RIVER RIDGE
4956,ROSENDALE-BRANDON
4963,ROSHOLT
4970,D C EVEREST AREA
4998,RUBICON J6
5019,SAINT CROIX FALLS
5026,SAINT FRANCIS
5054,CENTRAL/WESTOSHA UHS
5068,SALEM
5100,SAUK PRAIRIE
5124,SENECA
5130,SEVASTOPOL
5138,SEYMOUR COMMUNITY
5258,SHARON J11
5264,SHAWANO
5271,SHEBOYGAN AREA
5278,SHEBOYGAN FALLS
5306,SHELL LAKE
5348,SHIOCTON
5355,SHOREWOOD
5362,SHULLSBURG
5369,SILVER LAKE J1
5376,SIREN
5390,SLINGER
5397,SOLON SPRINGS
5432,SOMERSET
5439,SOUTH MILWAUKEE
5457,SOUTHERN DOOR COUNTY
5460,SPARTA AREA
5467,SPENCER
5474,SPOONER AREA
5523,RIVER VALLEY
5586,SPRING VALLEY
5593,STANLEY-BOYD AREA
5607,STEVENS POINT AREA PUBLIC
5614,STOCKBRIDGE
5621,STOUGHTON AREA
5628,STRATFORD
5642,STURGEON BAY
5656,SUN PRAIRIE AREA
5663,SUPERIOR
5670,SURING PUBLIC
5726,THORP
5733,THREE LAKES
5740,TIGERTON
5747,TOMAH AREA
5754,TOMAHAWK
5757,FLAMBEAU
5780,TREVOR-WILMOT CONSOLIDATED
5810,TURTLE LAKE
5817,TWIN LAKES #4
5824,TWO RIVERS PUBLIC
5852,UNION GROVE UHS
5859,UNION GROVE J1
5866,VALDERS AREA
5901,VERONA AREA
5960,KICKAPOO AREA
5985,VIROQUA AREA
5992,WABENO AREA
6013,BIG FOOT UHS
6022,WALWORTH J1
6027,WASHBURN
6069,WASHINGTON
6083,WATERFORD UHS
6104,WASHINGTON-CALDWELL
6113,WATERFORD GRADED J1
6118,WATERLOO
6125,WATERTOWN UNIFIED
6174,WAUKESHA
6181,WAUNAKEE COMMUNITY
6195,WAUPACA
6216,WAUPUN
6223,WAUSAU
6230,WAUSAUKEE
6237,WAUTOMA AREA
6244,WAUWATOSA
6251,WAUZEKA-STEUBEN
6293,WEBSTER
6300,WEST ALLIS-WEST MILWAUKEE
6307,WEST BEND
6321,WESTBY AREA
6328,WEST DE PERE
6335,WESTFIELD
6354,WESTON
6370,WEST SALEM
6384,WEYAUWEGA-FREMONT
6412,WHEATLAND J1
6419,WHITEFISH BAY
6426,WHITEHALL
6440,WHITE LAKE
6461,WHITEWATER UNIFIED
6470,WHITNALL
6475,WILD ROSE
6482,WILLIAMS BAY
6545,WILMOT UHS
6608,WINNECONNE COMMUNITY
6615,WINTER
6678,WISCONSIN DELLS
6685,WISCONSIN RAPIDS
6692,WITTENBERG-BIRNAMWOOD
6713,WONEWOC-UNION CENTER
6720,WOODRUFF J1
6734,WRIGHTSTOWN COMMUNITY
6748,YORKVILLE J2
